name,URL,company,company_url,sweet_spot,range
Jason Calacanis,https://signal.nfx.com/investors/jason-calacanis,LAUNCH,https://signal.nfx.com/firms/launch,$1.5M,$100K - $5.0M
James Currier,https://signal.nfx.com/investors/james-currier,NFX,https://signal.nfx.com/firms/nfx,$2.5M,$500K - $4.0M
Justin Kan,https://signal.nfx.com/investors/justin-kan,Goat Capital,https://signal.nfx.com/firms/goat-capital,$1.8M,$500K - $3.0M
Gigi Levy-Weiss,https://signal.nfx.com/investors/gigi-levy-weiss,NFX,https://signal.nfx.com/firms/nfx,$1M,$500K - $5.0M
Deepen Parikh,https://signal.nfx.com/investors/deepen-parikh,Courtside Ventures,https://signal.nfx.com/firms/courtside-ventures,$600K,$100K - $2.0M
Shayma Sharif,https://signal.nfx.com/investors/shayma-sharif,NFX,https://signal.nfx.com/firms/nfx,$50K,$25K - $100K
Kevin Zhang,https://signal.nfx.com/investors/kevin-zhang,Upfront Ventures,https://signal.nfx.com/firms/upfront-ventures,$1M,$750K - $5.0M
Shanti Bergel,https://signal.nfx.com/investors/shanti-bergel,Transcend Fund,https://signal.nfx.com/firms/transcend-fund,$2.0M,$1M - $3.0M
Eyal Baumel,https://signal.nfx.com/investors/eyal-baumel,NFX,https://signal.nfx.com/firms/nfx,$50K,$25K - $100K
Peter Levin,https://signal.nfx.com/investors/peter-levin_1,Griffin Gaming Partners,https://signal.nfx.com/firms/griffin-gaming-partners,$1M,$100K - $10.0M
Jens Hilgers,https://signal.nfx.com/investors/jens-hilgers,BITKRAFT Ventures,https://signal.nfx.com/firms/bitkraft-ventures,$3.5M,$2.0M - $5.0M
Nicolas Vereecke,https://signal.nfx.com/investors/nicolas-vereecke,BITKRAFT Ventures,https://signal.nfx.com/firms/bitkraft-ventures,$3.5M,$200K - $5.0M
Vasu Kulkarni,https://signal.nfx.com/investors/vasu-kulkarni,Courtside Ventures,https://signal.nfx.com/firms/courtside-ventures,$850K,$200K - $1.5M
Adam Draper,https://signal.nfx.com/investors/adam-draper,Boost VC,https://signal.nfx.com/firms/boost-vc,$3.0M,$500K - $7.0M
Reid Hoffman,https://signal.nfx.com/investors/reid-hoffman,Greylock,https://signal.nfx.com/firms/greylock,$1.5M,$100K - $20.0M
Amitt Mahajan,https://signal.nfx.com/investors/amitt-mahajan,Presence Capital,https://signal.nfx.com/firms/presence-capital,$50K,$25K - $100K
Clancey Stahr,https://signal.nfx.com/investors/clancey-stahr,GoAhead Ventures,https://signal.nfx.com/firms/goahead-ventures,$600K,$200K - $1M
Hiro Nozawa,https://signal.nfx.com/investors/hiro-nozawa,Asahi Media Lab Ventures,https://signal.nfx.com/firms/asahi-media-lab-ventures,$250K,$10K - $1M
Phil Sanderson,https://signal.nfx.com/investors/phil-sanderson,Griffin Gaming Partners,https://signal.nfx.com/firms/griffin-gaming-partners,$1M,$100K - $10.0M
Jackson Vaughan,https://signal.nfx.com/investors/jackson-vaughan,Konvoy Ventures,https://signal.nfx.com/firms/konvoy-ventures,$3.0M,$500K - $5.0M
